CT_Hour_Begin,Month,Day,Year,Hour_Begin,Metered_Load,Deficit_Energy,Surplus_Energy,Total_Energy_Bought,Hourly_Prices,Hourly_Cost
1/1/19 0:00,1,1,2019,0,299468.4,1001,0,1001,20.15,20165.25
1/1/19 1:00,1,1,2019,1,280524.2,11954.8,0,11954.8,18.92,226131.02
1/1/19 2:00,1,1,2019,2,268830.1,8996.9,0,8996.9,18.76,168782.74
1/1/19 3:00,1,1,2019,3,264425.7,5195.3,0,5195.3,18.59,96603.49
1/1/19 4:00,1,1,2019,4,268809.2,15065.6,0,15065.6,18.69,281536.89
1/1/19 5:00,1,1,2019,5,279107.4,30560.2,0,30560.2,20.34,621563.91
1/1/19 6:00,1,1,2019,6,290186.6,21752.5,0,21752.5,22.86,497314.36
1/1/19 7:00,1,1,2019,7,303888.2,30263.2,0,30263.2,21.34,645813.66
1/1/19 8:00,1,1,2019,8,331434.4,46600.4,0,46600.4,20.3,945894.92
1/1/19 9:00,1,1,2019,9,362859.2,61490,0,61490,21.66,1331750.42
1/1/19 10:00,1,1,2019,10,376140.6,44578.6,0,44578.6,22.21,990193.24
1/1/19 11:00,1,1,2019,11,381697.8,44082.5,0,44082.5,22.57,994915.58
1/1/19 12:00,1,1,2019,12,381268.8,48895,0,48895,21.73,1062610.59
1/1/19 13:00,1,1,2019,13,374305.8,45140.7,0,45140.7,21.67,978235.08
1/1/19 14:00,1,1,2019,14,372903.3,38247,0,38247,21.63,827282.61
1/1/19 15:00,1,1,2019,15,380454.8,38116.1,0,38116.1,21.18,807325.68
1/1/19 16:00,1,1,2019,16,417963.7,42112.4,0,42112.4,21.92,923145.92
1/1/19 17:00,1,1,2019,17,444338.4,52604.2,0,52604.2,23.15,1217808.27
1/1/19 18:00,1,1,2019,18,437314.9,33180.4,0,33180.4,22.74,754379.62
1/1/19 19:00,1,1,2019,19,425106,12952.5,0,12952.5,22.61,292889.7
1/1/19 20:00,1,1,2019,20,404188.4,13634.5,0,13634.5,22.33,304429.75
1/1/19 21:00,1,1,2019,21,373488.5,31149.8,0,31149.8,23.3,725743.62
1/1/19 22:00,1,1,2019,22,335924.6,9736.1,0,9736.1,23.46,228428.38
1/1/19 23:00,1,1,2019,23,304038.9,0,-13871,0,21.77,0
1/2/19 0:00,1,2,2019,0,284081.6,13398,0,13398,19.21,257344.76
1/2/19 1:00,1,2,2019,1,275174.9,3560.7,0,3560.7,18.59,66205.88
1/2/19 2:00,1,2,2019,2,274929.6,2414.5,0,2414.5,18.7,45144.63
1/2/19 3:00,1,2,2019,3,282206.1,9766.9,0,9766.9,19.02,185751.79
1/2/19 4:00,1,2,2019,4,304383.2,0,-15950,0,20.62,0
1/2/19 5:00,1,2,2019,5,340255.3,0,-278.3,0,24.85,0
1/2/19 6:00,1,2,2019,6,372365.4,2391.4,0,2391.4,22.49,53773.26
1/2/19 7:00,1,2,2019,7,387789.6,31781.2,0,31781.2,21.44,681274.52
1/2/19 8:00,1,2,2019,8,397316.7,41797.8,0,41797.8,22.53,941821.47
1/2/19 9:00,1,2,2019,9,405116.8,0,-5685.9,0,23.44,0
1/2/19 10:00,1,2,2019,10,411881.8,0,-33482.9,0,23.44,0
1/2/19 11:00,1,2,2019,11,406523.7,0,-50752.9,0,23.64,0
1/2/19 12:00,1,2,2019,12,397216.6,0,-33303.6,0,24.02,0
1/2/19 13:00,1,2,2019,13,397751.2,0,-18807.8,0,24.77,0
1/2/19 14:00,1,2,2019,14,405304.9,0,-11925.1,0,29.74,0
1/2/19 15:00,1,2,2019,15,416594.2,6747.4,0,6747.4,29.68,200251.36
