CT_Hour_Begin,Month,Day,Year,Hour_Begin,Metered_Load,Deficit_Energy,Surplus_Energy,Total_Energy_Bought,Hourly_Prices,Hourly_Cost
01/01/2016 00:00,1,1,2016,0,318378.50,195539.30,0.00,195539.30,14.91,2914865.237
01/01/2016 01:00,1,1,2016,1,301514.40,177929.40,0.00,177929.40,14.55,2589548.902
01/01/2016 02:00,1,1,2016,2,294941.90,172517.40,0.00,172517.40,14.41,2485906.727
01/01/2016 03:00,1,1,2016,3,295688.80,173768.10,0.00,173768.10,14.41,2503146.857
01/01/2016 04:00,1,1,2016,4,303362.40,179906.10,0.00,179906.10,14.95,2690009.979
01/01/2016 05:00,1,1,2016,5,316828.60,174231.20,0.00,174231.20,15.29,2663629.162
01/01/2016 06:00,1,1,2016,6,333568.40,153015.50,0.00,153015.50,15.56,2381074.196
01/01/2016 07:00,1,1,2016,7,351417.00,172586.70,0.00,172586.70,16.07,2772639.853
01/01/2016 08:00,1,1,2016,8,374564.30,151873.70,0.00,151873.70,16.27,2470514.291
01/01/2016 09:00,1,1,2016,9,387810.50,131705.20,0.00,131705.20,17.33,2282121.853
01/01/2016 10:00,1,1,2016,10,399215.30,139019.10,0.00,139019.10,17.45,2425313.317
01/01/2016 11:00,1,1,2016,11,399309.90,124778.50,0.00,124778.50,17.26,2153701.866
01/01/2016 12:00,1,1,2016,12,396878.90,83534.00,0.00,83534.00,17.64,1473222.331
01/01/2016 13:00,1,1,2016,13,392368.90,48072.20,0.00,48072.20,17.71,851570.1797
01/01/2016 14:00,1,1,2016,14,392834.20,50166.60,0.00,50166.60,17.77,891691.2484
01/01/2016 15:00,1,1,2016,15,399889.60,54965.90,0.00,54965.90,17.93,985285.7439
01/01/2016 16:00,1,1,2016,16,435363.50,87612.80,0.00,87612.80,18.70,1638648.482
01/01/2016 17:00,1,1,2016,17,471848.30,99047.30,0.00,99047.30,18.74,1855918.593
01/01/2016 18:00,1,1,2016,18,470437.00,81907.10,0.00,81907.10,18.96,1553097.858
01/01/2016 19:00,1,1,2016,19,464143.90,100234.20,0.00,100234.20,18.58,1862060.757
01/01/2016 20:00,1,1,2016,20,449727.30,92914.80,0.00,92914.80,18.49,1717948.195
01/01/2016 21:00,1,1,2016,21,421644.30,60121.60,0.00,60121.60,17.91,1076843.99
01/01/2016 22:00,1,1,2016,22,388297.80,51106.00,0.00,51106.00,17.47,892878.0366
01/01/2016 23:00,1,1,2016,23,358637.40,30844.00,0.00,30844.00,16.80,518163.778
01/02/2016 00:00,1,2,2016,0,341044.00,59393.40,0.00,59393.40,16.09,955592.2913
01/02/2016 01:00,1,2,2016,1,335552.80,55721.60,0.00,55721.60,15.68,873898.5693
01/02/2016 02:00,1,2,2016,2,337950.80,55884.40,0.00,55884.40,15.63,873383.757
01/02/2016 03:00,1,2,2016,3,344339.60,58679.50,0.00,58679.50,15.99,938320.4127
01/02/2016 04:00,1,2,2016,4,355748.80,55003.30,0.00,55003.30,16.51,907983.4757
01/02/2016 05:00,1,2,2016,5,377537.60,50275.50,0.00,50275.50,17.30,869605.2684
01/02/2016 06:00,1,2,2016,6,401066.60,40807.80,0.00,40807.80,17.68,721628.8121
01/02/2016 07:00,1,2,2016,7,421042.60,51859.50,0.00,51859.50,17.78,921838.9142
01/02/2016 08:00,1,2,2016,8,442543.20,81203.10,0.00,81203.10,18.40,1493909.671
01/02/2016 09:00,1,2,2016,9,450370.80,57954.60,0.00,57954.60,17.96,1040922.571
01/02/2016 10:00,1,2,2016,10,439143.10,40641.70,0.00,40641.70,17.93,728514.665
